pregunta;respuesta
¿Vas a tomar postre?;Are you going to have dessert?
Depende de muchos factores.;It depends on a lot of factors.
El nivel de vida es muy alto en este país.;The standard of living is very high in this country.
Nunca te harás rico trabajando.;You'll never get rich by working.
Según él, todos somos idiotas.;According to him, we're all Idiots.
¿Haces todo lo que ella te dice?;Do you do everything she tells you?
No te preocupes, no dolerá.;Don't worry, it won't hurt.
¿Qué es lo que no dolerá?;What won't hurt?
Lo que te voy a hacer.;What I'm going to do to you.
¿Qué me vas a hacer?;What are you going to do to me?
Te voy a poner una inyección.;I'm going to give you an injection.
¿Para qué?;What for?
Para tu catarro.;For your cold.
No tengo catarro.;I don't have a cold.
Pero llevas dos semanas tosiendo.;But you've been coughing for two weeks.
Yo no tengo tos.;I don't have a cough.
Pero llevas una semana con fiebre.;But you've had a fever for a week.
No sé de lo que estás hablando.;I don't know what you're talking about.
¿No eres tú la persona que estuvo aquí ayer por la tarde?;Aren't you the person who was here yesterday afternoon?
Nunca he estado aquí.;I've never been here.
Te pareces a un paciente mío.;You look like a patient of mine.
Mi tío se parece a mí.;My uncle looks like me.
Debe de ser muy feo tu tío.;Your uncle must be very ugly.
¿Qué quieres decir?;What do you mean?
¿Te he ofendido?;Have I offended you?
Es un hombre guapo.;He's a handsome man.
París es una ciudad hermosa.;Paris is a beautiful city.
Es una chica guapa.;She's a pretty girl.
Ya se ha mandado.;It's already been sent.
Ya se ha decidido.;It's already been decided.
No se ha hecho aún.;It hasn't been done yet.
Todavía estamos esperando la carta.;We're still waiting for the letter.
¿No la habéis recibido todavía?;Haven't you received it yet?
¿De qué estás hablando?;What are you talking about?
Deberías tener más cuidado.;You should be more careful.
Ya no están aquí.;They're not here anymore.
¿Sigues siendo mi amigo?;Are you still my friend?
Siempre he sido tu amigo.;I've always been your friend.
A veces no lo parece.;Sometimes it doesn't seem like it.
Él parece ser el mejor candidato.;He seems to be the best candidate.
Si no la despiertas, dormirá hasta el mediodía.;If you don't wake her up, she'll sleep until noon.
No los he visto todavía.;I haven't seen them yet.
¿Se ha hecho algo?;Has anything been done?
Llevo horas intentando encontrarle.;I've been trying to find him for hours.
Hace mucho que no les veo.;I haven't seen them for a long time.
¿Cuánto tiempo llevas fuera?;How long have you been away?
¿Se te ha ocurrido alguna vez traerlo aquí?;Has it ever occurred to you to bring it here?
Esté donde esté, le encontraré.;Wherever he is, I'll find him.
¿Tengo que hacerlo?;Do I have to do it?
¿Quién tiene que hacerlo?;Who has to do it?
Antes tenían más problemas.;They used to have more problems.
Llevo aquí desde ayer.;I've been here since yesterday.
Nadie lo ha firmado aún.;Nobody's signed it yet.
Tiene que ser firmado.;It has to be signed.
¿Quién está autorizado para firmarlo?;Who's authorised to sign it?
Quien quiera que hizo esto, hizo un buen trabajo.;Whoever did this, did a good job.
Jamás he dicho semejante cosa.;I've never said such a thing.
La clase fue tan aburrida que me dormí.;The class was so boring that I fell asleep.
Fue una clase tan aburrida que me dormí.;It was such a boring class that I fell asleep.
No deberías haberte dormido.;You shouldn't have fallen asleep.
No lo pude evitar.;I couldn't help it.
Debe de haber una solución.;There must be a solution.
Puede que haya más de una persona.;There may be more than one person.
Debería haber más sillas aquí.;There should be more chairs here.
Va a haber una fiesta más tarde.;There's going to be a party later.
Habrá mucha gente cuando lleguemos allí.;There'll be a lot of people when we get there.
Podría haber un problema.;There could be a problem.
Tiene que haber un modo de hacerlo.;There has to be a way to do it.
Tiene que haber varios modos.;There have to be several ways.
Entonces ¿para qué estamos esperando?;Then what are we waiting for?
Ha habido varios casos.;There have been several cases.
Nunca ha habido una huelga como ésta.;There's never been a strike like this one.
¿Qué hace a ésta distinta?;What makes this one different?
Porque nadie la está apoyando.;Because nobody's supporting it.
Él es una persona tranquila.;He's an easy-going person.
¿Por qué estás tan callado?;Why are you so quiet?
Sólo hablo cuando me veo obligado.;I only talk when I have to.
Quiero que nos digas tu opinión.;I want you to tell us your opinion.
Creo que el proyecto va a fracasar.;I think the project is going to fail.
Nosotros opinamos lo contrario.;We think the opposite.
Estáis cometiendo un gran error.;You're making a big mistake.
¿En qué basas tu opinión?;What do you base your opinion on?
He visto el mismo error cometido miles de veces.;I've seen the same mistake made thousands of times.
¿Qué os hace creer que esta vez va a se r diferente?;What makes you think this time is going to be different?
¿Quién me va a cuidar?;Who's going to take care of me?
Ya te pondrás mejor, no te preocupes.;You'll get better, don't worry.
Es fácil para ti decir eso.;It's easy for you to say that.
Nada es fácil hoy en día.;Nothing's easy nowadays.
El cielo está empezando a despejarse.;The sky's starting to clear up.
A medida que te hagas más mayor...;As you get older...
Son más listos de lo que crees.;They're smarter than you think.
Las luces están apagadas.;The lights are off.
¿Quién las apagó?;Who turned them off?
Ya estaban apagadas cuando llegué aquí.;They were already off when I got here.
Entonces llevan al menos dos días apagadas.;Then they've been off for at least two days.
¿Se han mandado ya las cartas?;Have the letters been sent yet?
Las eché al correo anoche.;I mailed them last night.
¿Cuándo llegarán a su destino?;When will they reach their destination?
¿Quién sabe?;Who knows?
Espero que lleguen a tiempo.;I hope they arrive in time.
¿A tiempo de qué?;In time for what?
Tienen que llegar antes de la fecha tope.;They have to arrive before the deadline.
¿Dónde has estado últimamente?;Where have you been lately?
Fui operado hace un mes.;I was operated on a month ago.
¿Cómo te encuentras?;How do you feel?
Estoy mejorando.;I'm getting better.
¿Qué te pasaba?;What was the matter?
Me rompí un dedo.;I broke a finger.
Llevan tres meses casados.;They've been married for three months.
Antes había más gente aquí.;There used to be more people here.
Eso fue cuando las cosas iban mejor.;That was when things were going better.
¿Estáis perdiendo dinero?;Are you losing money?
Estamos perdiendo dinero desde hace dos años.;We've been losing money for two years.
La gente está comprando menos.;People are buying less.
Se han marchado.;They've left.
No querían quedarse aquí.;They didn't want to stay here.
¿Por qué no querían quedarse?;Why didn't they want to stay?
Dijeron que tenían muchas cosas que hacer.;They said they had a lot of things to do.
Yo me pregunto qué tendrían que hacer.;I wonder what they had to do.
Alguien está llamando a la puerta.;Someone's knocking at the door.
¿Quién será?;I wonder who it is.
A lo mejor es Juan.;Maybe it's John.
¿Le estabas esperando?;Were you expecting him?
No sé quien más podría ser.;I don't know who else it could be.
Antes tu hermano venía mucho por aquí.;Your brother used to come here a lot.
Eso era cuando nos llevábamos bien.;That was when we got along.
¿Ya no os lleváis bien?;Don't you get along anymore?
Nos odiamos.;We hate each other.
Lamento oír eso.;I'm sorry to hear that.
Así es la vida.;That's life.
No nos hablamos desde hace un año.;We haven't spoken to each other for a year.
Hablemos de otra cosa.;Let's talk about something else.
¿De qué quieres que hablemos?;What do you want us to talk about?
De cualquier cosa.;About anything.
¿Qué tal si hablamos de cine?;How about talking about movies?
No me apetece hablar.;I don't feel like talking.
¿Qué te apetece hacer?;What do you feel like doing?
Tengo ganas de escuchar música.;I feel like listening to music.
Vamonos a otra parte.;Let's go somewhere else.
Estoy buscando a otra persona.;I'm looking for someone else.
Antes veníamos aquí más a menudo.;We used to come here more often.
Nos lo hemos pasado muy bien.;We've had a great time.
Gracias por todo lo que has hecho.;Thank you for everything you've done.
¿Qué haría yo sin tu ayuda?;What would I do without your help?
Lo hice yo mismo.;I did it myself.
No lo puedo levantar, (algo pesado);I can't lift it.
Tendrás que hablar más alto.;You'll have to speak louder.
Démosle otra oportunidad.;Let's give him another chance.
Nos quedan tres horas.;We have three hours left.
¿Cuánto tiempo nos queda?;How much time do we have left?
Se han tomado muchas decisiones.;A lot of decisions have been made.
Nuestra meta no se ha logrado.;Our goal hasn't been achieved.
Él se aprovechó de la situación.;He took advantage of the situation.
No seas demasiado duro con ellos.;Don't be too hard on them.
Dime lo que tengo que hacer.;Tell me what I have to do.
Se hará en un futuro próximo.;It'll be done in the near future.
¿Qué es lo que se hará?;What will be done?
Lo que tiene que hacerse.;What has to be done.
Se ha cometido un crimen.;A crime has been committed.
Te proporcionaré un pasaporte.;I'll provide you with a passport.
No se ha levantado el embargo aún.;The embargo hasn't been lifted yet.
Ponió aquí mismo.;Put it right here.
No te disgustes.;Don't get upset.
Habrá otra guerra si no hacemos algo.;There'll be another war if we don't do something.
El mundo nunca ha tenido un siglo de paz.;The world has never had a century of peace.
Este soldado lleva dos días muerto.;This soldier has been dead for two days.
Debe de haber muerto antes de ayer.;He must have died the day before yesterday.
¿Cómo sabes que está muerto?;How do you know he's dead?
No está respirando.;He isn't breathing.
Ha muerto por una explosión.;He was killed by an explosion.
Debió de ser una explosión fuerte.;It must have been a strong explosion.
Tengo que dar de comer a mucha gente.;I have to feed a lot of people.
Mantengo a mi familia.;I support my family.
¡Ojo!;Look out! (watch out!)
No te preocupes, tendré cuidado.;Don't worry, I'll be careful.
No lo hagas si no quieres.;Don't do it if you don't want to.
Vengo aquí porque me gusta.;I come here because I like to.
Nadie te ha pedido que vengas.;Nobody's asked you to come.
Tomaré mis propias decisiones.;I'll make my own decisions.
Debería haber más escritorios.;There should be more desks.
¿Quién se llevó las cajas?;Who took (away) the boxes?
¿De qué cajas estás hablando?;What boxes are you talking about?
De las que estaban aquí esta mañana.;About the ones that were here this morning.
Están siendo pintadas.;They're being painted.
¿Quién dio la orden de que fuesen pintadas?;Who gave the order to paint them?
Yo, señor.;I did, sir.
Haz que se traigan aquí otra vez.;Have them brought back here.
Pero están en malas condiciones.;But they're in bad condition.
¡No me importa cómo estén!;I don't care how they are!
Pero ya se han pintado.;But they've already been painted.
Que se traigan aquí de todas formas.;Have them brought here anyway.
Estoy aquí desde esta mañana.;I've been here since this morning.
Se enfadará si se lo dices.;He'll get angry if you tell him.
No tengo intención de decírselo.;I don't intend to tell him.
Pero tarde o temprano se enterará.;But he'll find out sooner or later.
No estaré aquí cuando se entere.;I won't be here when he finds out.
Puede que todavía haya una solución.;There still may be a solution.
¿Qué es?;What is it?
Podríamos atracar un banco.;We could rob a bank.
Eso sería demasiado peligroso.;That would be too dangerous.
Además, alguien podría hacerse daño.;Besides, someone could get hurt.
Entonces, ¿qué sugieres que hagamos?;Then what do you suggest we do?
Sugiero que pidamos prestado el dinero.;I suggest we borrow the money.
¿Cómo vas a conseguir tanto dinero?;How are you going to get so much money?
Tiene que haber una manera.;There has to be a way.
Alguien ha estado aquí.;Someone's been here.
Lleva tres días lloviendo.;It's been raining for three days.
¿Por qué no han hecho nada todavía?;Why haven't they done anything yet?
No se les dijo que hicieran nada.;They weren't told to do anything.
La guerra se ha terminado.;The war's over.
Estoy cansado de esperarle.;I'm tired of waiting for him.
¿Cuánto suele tardar en venir?;How long does it usually take him to come?
Suele tardar aproximadamente una hora.;It usually takes him about an hour.
¿Dónde estará? (él);I wonder where he is.
Algo debe de haberle pasado.;Something must have happened to him.
Es extraño que no haya llegado.;It's strange that he hasn't arrived.
A lo mejor ha tenido un accidente.;Maybe he's had an accident.
¿Cuánto tiempo vas a esperar?;How long are you going to wait?
Unos minutos más.;A few minutes more.
Y después, ¿qué harás?;And then what will you do?
No tengo ni idea.;I have no idea.
Ha habido unos cambios recientemente.;There have been some changes recently.
¿De qué clase de cambios estás hablando?;What kind of changes are you talking about?
Te van a trasladar a mi departamento.;They're going to transfer you to my department.
¿Quieres decir que vamos a trabajar juntos?;Do you mean we're going to work together?
Así es.;That's right.
Ya era hora.;It's about time.
¿Dónde conseguiste esa información?;Where did you get that information?
Lo sé desde hace mucho tiempo.;I've known it for a long time.
¿Por qué no me dijiste nada?;Why didn't you tell me anything?
Prometí mantenerlo en secreto.;I promised to keep it a secret.
Pero podías habérmelo dicho a mí.;But you could have told me.
Pero la decisión no era definitiva.;But the decision wasn't final.
¿Lo es ahora?;Is it now?
Todo el mundo será informado mañana.;Everyone will be informed tomorrow.
¿Significará una subida salarial?;Will it mean a raise / rise?
Por supuesto que sí.;Of course it will.
¿Cuánto tiempo llevas planeando esto?;How long have you been planning this?
Ha sido idea mía desde hace mucho tiempo.;It's been an idea of mine for a long time.
¿De quién dependeré?;Who will I report to?
Serás mi brazo derecho.;You'll be my right-hand man.
Estoy decepcionado con tu progreso.;I'm disappointed with your progress.
Eres capaz de hacer mayores progresos.;You're capable of making greater progress.
No has hecho un gran esfuerzo.;You haven't made a big effort.
Has desperdiciado mucho tiempo.;You've wasted a lot of time.
Tu madre está muy disgustada.;Your mother is very upset.
Deberías haber estudiado mucho más.;You should've studied much more.
Deberías haber asistido a más clases.;You should've attended more classes.
Tengo razones para estar enfadado.;I have reasons to be angry.
¿Ahora qué voy a hacer contigo?;Now what am I going to do with you?
¿Qué va a pensar tu abuela cuando se entere?;What is your grandmother going to think when she finds out?
Casi tengo miedo de decírselo.;I'm almost afraid to tell her.
¿Sabes cuánto ha costado este curso?;Do you know how much this course has cost?
He tenido que hacer sacrificios.;I've had to make sacrifices.
La vida no es un lecho de rosas.;Life is not a bed of roses.
Tienes que luchar por todo lo que consigues.;You have to fight for everything you get.
Nunca llegarás a ninguna parte con esa actitud.;You'll never get anywhere with that attitude.
No entiendo a los jóvenes de hoy día.;I don't understand young people nowadays.
Cuando yo tenía tu edad, estábamos orgullosos de ir a la universidad.;When I was your age, we were proud to go to the university.
¿Qué os pasa?;What's the matter with you?
¿Qué vas a hacer ahora?;What are you going to do now?
¿Crees que voy a mantenerte para siempre?;Do you thing I'm going to support you forever?
Más vale que busques un trabajo.;You'd better look for a job.
Ya te hemos dado dos oportunidades.;We've already given you two chances.
No las has aprovechado.;You haven't taken advantage of them.
Deberías estar avergonzado.;You should be ashamed.
¿Qué voy a decir a mis amigos?;What am I going to tell my friends?
Creerán que tengo un hijo tonto.;They'll think I have a stupid son.
¿Quieres que piensen eso?;Do you want them to think that?
Antes eras un buen estudiante.;You used to be a good student.
Antes conseguías buenas notas.;You used to get good grades.
Ya no haces ningún esfuerzo.;You don't make an effort anymore.
¿Qué hemos hecho para merecer esto?;What have we done to deserve this?
Yo tenía grandes planes para ti.;I had big plans for you.
Te iba a conseguir un buen empleo.;I was going to get you a good job.
Te iba a asegurar tu futuro.;I was going to assure your future.
¿Qué va a pensar el Sr. Smith?;What is Mr. Smith going to think?
¿Cómo se lo voy a decir?;How am I going to tell him?
¿Sabe su hija acerca de esto?;Does his daughter know about this?
No querrá casarse con un don nadie.;She won't want to marry a nobody.
¿Le has dicho algo a ella?;Have you told her anything?
¿Qué dijo? (ella);What did she say?
Estáis los dos locos.;You're both crazy.
¿Cómo piensas mantenerla?;How are you planning to support her?
El dinero no crece en los árboles.;Money doesn't grow on trees.
Algún día te arrepentirás de esto.;Someday you'll regret this.
¿No tienes nada que decir?;Don't you have anything to say?
Di algo.;Say something.
Haz con tu vida lo que quieras.;Do with your life what you want.
No quiero saber nada.;I don't want to know anything.
En lo que a mí respecta, ya no tengo hijo.;As far as I'm concerned, I don't have a son anymore.
No hemos llegado a una conclusion aún.;We haven't reached a conclusion yet.
Se han limpiado las casas.;The houses have been cleaned.
Se han destruido los barcos.;The ships have been destroyed.
No se ha corregido el error.;The mistake hasn't been corrected.
Tus posibilidades son muy remotas.;Your chances are very slim / remote.
Los números han sido cambiados.;The numbers have been changed.
¿Es esto todo lo que has hecho?;Is this all you've done?
Acabo de empezar.;I've just started.
¿No puedes trabajar un poco más rápido?;Can't you work a little faster?
¿Quieres calidad o cantidad?;Do you want quality or quantity?
Acabamos de recibir la noticia.;We've just received the news.
Yo acababa de comer cuando él llegó.;I had just eaten when he arrived.
¿Has rellenado el impreso?;Have you filled out the form?
¿De qué impreso estás hablando?;What form are you talking about?
Del que está delante de ti.;About the one that's in front of you.
Pero esto es un impreso de solicitud.;But this is an application form.
¿Qué estoy solicitando?;What am I applying for?
Quiero que solicites un trabajo.;I want you to apply for a job.
¿Para qué?;What for?
Para que puedas mantener a tu mujer.;So that you can support your wife.
¿Para qué necesito mantenerla?;What do I need to support her for?
Para que ella pueda tener un hogar.;So that she can have a home.
¿Para qué necesita un hogar?;What does she need a home for?
Para que te pueda servir tus comidas.;So that she can serve you your meals.
Eso me parece una buena idea.;That sounds like a good idea.
Por supuesto que sí.;Of course it does.
Nunca se me había ocurrido.;It had never occurred to me.
Eres un poco extraño, ¿sabes?;You're a little strange, you know?
Tú también.;So are you.
¿Me puedes dar fuego?;Can you give me a light?
No deberías fumar tanto.;You shouldn't smoke so much.
No lo puedo evitar.;I can't help it.
Te cansas cuando subes escaleras.;You get tired when you climb stairs.
Tú también.;So do you.
A veces te cuesta trabajo respirar.;Sometimes you have trouble breathing.
Eso es mentira.;That's a lie.
Nunca miento.;I never lie.
Yo tampoco.;Neither do I.
Silencio, están dormidos.;Be quiet, they're asleep / sleeping.
No les despiertes.;Don't wake them up.
Tengo sueño.;I'm sleepy.
Se me pegaron las sábanas ayer.;I overslept yesterday.
Mírale, se está durmiendo.;Look at him, he's falling asleep.
Estoy completamente despierto.;I'm completely awake.
Yo también.;So am I.
Jamás me he dormido en clase.;I've never fallen asleep in class.
Yo tampoco.;Neither have 1.
Yo no estaba dormido.;I wasn't asleep.
Yo tampoco.;Neither was I.
Acuéstate.;Go to bed.
El ciego me llevó al quiosco.;The blind man took me to the news-stand.
Le pregunté si quería que le comprara una revista.;I asked him if he wanted me to buy him a magazine.
Él me recordó que era ciego.;He reminded me that he was blind.
Deja de molestarme.;Stop bothering me.
No entendía ni una palabra.;I didn't understand a single word.
Hablaba como si tuviera canicas en la boca.;He talked as if he had marbles in his mouth.
Le pedí que hablara más despacio.;I asked him to speak more slowly.
No me hizo caso.;He ignored me.
Me fui de la reunión.;I left the meeting.
Eres un caso perdido.;You're a lost case.
Tendremos que demostrárselo, (a ellos);We'll have to prove it to them.
¿Tienes una coartada?;Do you have an alibi?
Dirijo un servicio de formación.;I run a training service.
¿Quién es el responsable?;Who's in charge?
Fue una extraña casualidad.;It was a strange coincidence.
Puedes contar conmigo.;You can count on me.
Fue una velada encantadora.;It was a delightful evening.
La historia tuvo un final feliz.;The story had a happy ending.
¿Mataron al malo?;Did they kill the bad guy?
Él pasó el resto de su vida en la cárcel.;He spent the rest of his life in prison.
La moral ha sido gravemente dañada.;The morale has been seriously damaged.
¿Cuáles son las características de una buen gerente?;What are the traits of a good manager?
Yo qué sé.;What do I know.
Hay un rumor de que te vas.;There's a rumour that you're leaving.
¿Quién te ha contado eso?;Who told you that?
Lo oí por radio macuto.;I heard it through the grapevine.
Esta compañía apesta.;This company stinks.
Tan mala no es.;It's not that bad.
Necesito más cancha para trabajar.;I need more room to work.
¿Cómo puedes decir eso?;How can you say that?
No puedo influir en la política de la compañía.;I can't influence company policy.
Pero sólo llevas un año aquí.;But you've only been here for a year.
Además, sólo tienes 28 años.;Besides, you're only 28 years old.
¿Y qué?;So what?
Tienes que ser paciente.;You have to be patient.
La paciencia es una virtud.;Patience is a virtue.
Se me ha agotado la paciencia.;I've run out of patience.
¿Qué piensas hacer?;What are you planning to do?
Voy a dimitir.;I'm going to resign.
No aceptarán tu dimisión.;They won't accept your resignation.
No me importa.;I don't care.
¿Qué planes tienes?;What plans do you have?
Voy a entrar en política.;I'm going to enter politics.
Estás buscando problemas.;You're looking for trouble.
Me apañaré.;I'll get by.
¿Te gusta la política?;Do you like politics?
Es la mejor forma de cambiar las cosas.;It's the best way to change things.
Cambiar las cosas no es tan fácil.;Changing things is not that easy.
Tengo una misión en la vida.;I have a mission in life.
Algún día dirigiré este país.;Someday I'll run this country.
No abandones.;Don't give up.
No des tu brazo a torcer.;Don't give in.
Asegúrate de que la gente te oiga.;Make sure the people hear you.
No te pongas nervioso.;Don't get nervous.
No pierdas la calma.;Don't lose your cool.
Trata de causar una buena impresión.;Try to give a good impression.
No dejes que te pongan nervioso.;Don't let them make you nervous.
Empieza el discurso con una anécdota.;Start the speech with an anecdote.
Si no se ríen, no te preocupes por ello.;If they don't laugh, don't worry about it.
Asegúrate de que tienes su atención.;Make sure you have their attention.
No mires a la misma persona todo el tiempo.;Don't look at the same person all the time.
Asegúrate de que tu voz llegue hasta el fondo del auditorio.;Make sure your voice reaches the back of the auditorium.
Aprende tu discurso de memoria.;Learn your speech by heart.
Memorízalo.;Memorise it.
No dejes que el micrófono te asuste.;Don't let the microphone scare you.
Tengo confianza en ti.;I have confidence in you.
Llámame una vez hayas terminado.;Call me once you've finished.
Seguiré tus consejos.;I'll follow your advice.
Deséame suerte.;Wish me luck.
No te defraudaré.;I won't disappoint you.
Espero que no.;I hope not.
¿Cuánto durará tu discurso?;How long will your speech last?
¿Cubre todos los temas?;Does it cover all the subjects?
Déjame que le eche un vistazo.;Let me have /take a look at it.
Es más corto de lo que creí.;It's shorter than I thought.
¿Por qué no incluyes algo acerca de las cifras de ventas?;Why don't you include something about the sales figures?
Se te ha olvidado mencionar las importaciones.;You've forgotten to mention the imports.
Te van a hacer muchas preguntas cuando termines.;They're going to ask you a lot of questions when you finish.
¿Podrás contestarlas?;Will you be able to answer them?
Procura dormir bien esta noche.;Try to sleep well tonight.
Me estoy haciendo viejo.;I'm getting old.
Ha hecho frío hoy.;It's been cold today.
Te acostumbrarás al frío.;You'll get used to the cold.
Él no me lo ha pagado todavía.;He hasn't paid me for it yet.
¿Cuánto le cobraste?;How much did you charge him?
Mis precios son bastante razonables.;My prices are quite reasonable.
Él no parece pensar así.;He doesn't seem to think so.
¿Quién lo metió en el agua?;Who put it in the water?
Sácalo ahora mismo.;Take it out right now.
Deberías estar avergonzado.;You should be ashamed.
Te estás comportando como un niño.;You're behaving like a child.
¿Te das cuenta de que tienes 14 años?;Do you realise you're 14 years old?
Él no es lo suficientemente alto para el puesto.;He's not tall enough for the job.
Sácate eso de la boca.;Take that out of your mouth.
Tíralo.;Throw it away.
No vuelvas a hacer eso nunca.;Don't ever do that again.
Seamos razonables.;Let's be reasonable.
Él es capaz de hacer las cosas más inesperadas.;He's capable of doing the most unexpected things.
Los alimentos están prohibidos aquí.;Food is prohibited here.
Ni siquiera se os permite hablar.;You're not even allowed to speak.
¿Nunca lo has probado?;Haven't you ever tried it?
Ha habido varias quejas.;There have been several complaints.
¿De qué se está quejando la gente?;What are the people complaining about?
Dicen que no tienen pan.;They say that don't have any bread.
Pues que coman tarta.;Then let them eat cake.
Va a haber una revolución.;There's going to be a revolution.
No mientras yo esté aquí.;Not as long as I'm here.
¿Qué vas a hacer para detenerlo?;What are you going to do to stop it?
¿Se ha puesto ya el sol?;Has the sun set yet?
El sol no salió ayer.;The sun didn't rise yesterday.
El sol siempre sale.;The sun always rises.
Estuve dormido todo el día.;I slept all day.
Estaban dormidos cuando entramos.;They were asleep when we entered.
¿No se despertaron?;Didn't they wake up?
Tuvimos cuidado de no hacer ruido.;We were careful not to make any noise.
Es demasiado tarde para hacer algo.;It's too late to do anything.
Nunca es demasiado tarde.;It's never too late.
Más vale tarde que nunca.;Better late than never.
Es muy viejo ese proverbio.;That proverb is very old.
El sujeto siempre va delante del verbo.;The subject always goes before the verb.
Su ausencia (de él) no fue notada.;His absence wasn't noticed.
No se dieron cuenta de que no estaba allí.;They didn't realise he wasn't there.
Pero ¡tenían que haberlo notado!;But they must have noticed it!
Esta es la última vez que lo voy a hacer.;This is the last time I'm going to do it.
¿Quién te va a reemplazar?;Who's going to replace you?
Ese no es mi problema.;That's not my problem.
Aún no se ha tomado ninguna decisión.;No decision has been made yet.
¿Se ha publicado ya?;Has it been published yet?
Ha habido un cambio.;There's been a change.
¿Ha habido de verdad un cambio?;Has there really been a change?
¿Se han instalado los cables?;Have the wires been installed?
No estoy cualificado para juzgar.;I'm not qualified to judge.
Tu juicio fue erróneo.;Your judgement was wrong.
No necesito tus consejos.;I don't need your advice.
¿Has estado en el médico?;Have you been to the doctor?
Los médicos no saben nada.;Doctors don't know anything.
Pero tendrás que confiar en ellos.;But you'll have to depend on them.
Debe de haber una forma mejor.;There must be a better way.
Debería haber más sillas.;There should be more chairs.
Tira todos esos papeles.;Throw all those papers away.
Pero me hacen falta.;But I need them.
Nos estamos acercando al final.;We're approaching the end.
Tu enfoque es, digamos, un poco extraño.;Your approach is, let's say, a little strange.
Lo que necesita esta compañía es juventud y vitalidad.;What this company needs is youth and vitality.
Lo que necesitamos es sentido común.;What we need is common sense.
No podrás levantarlo.;You won't be able to lift it.
No siempre es posible decir la verdad.;It's not always possible to tell the truth.
¿Es cierto que vas a dejarnos?;Is it true that you're going to leave us?
Si tuviera elección me quedaría.;If I had a choice, I'd stay.
Todos queremos que te quedes.;We all want you to stay.
Me estoy cansando de hacer listas.;I'm getting tired of making lists.
Me estoy acostumbrando a ello.;I'm getting used to it.
Me voy a casar pronto.;I'm going to get married soon.
Bájate del coche.;Get out of the car.
Bájate del autobús.;Get off the bus.
Súbete al autobús.;Get on the bus.
Súbete al coche.;Get into the car.
Enfermé durante el viaje.;I got ill during the trip.
Llegué de vuelta anoche.;I got back last night.
Me levanté temprano.;I got up early.
Él se desanimó.;He got discouraged.
Oscurece pronto en invierno.;It gets dark early in the winter.
El agua se pone caliente si la hierves.;Water gets hot if you boil it.
No te enfades.;Don't get angry.
No te pongas triste.;Don't get sad.
Me perdí en esa parte de la ciudad.;I got lost in that part of the city.
Se vistieron para la fiesta.;They got dressed for the party.
Se está nublando.;It's getting cloudy.
Si sales ahora te mojarás.;If you go out now you'll get wet.
Tu salud está empeorando.;Your health is getting worse.
Tu inglés está mejorando.;Your English is getting better.
Llegué a casa muy tarde.;I got home very late.
El perro se soltó.;The dog got loose.
Las cosas se están poniendo difíciles.;Things are getting difficult.
Se llevan muy bien.;They get along very well.
Ya superarás la enfermedad.;You'll get over the illness.
Él se puso bien rápidamente.;He got well quickly.
Estoy engordando.;I'm getting fat.
Me irrité cuando lo oí.;I got irritated when I heard it.
Llegaron al aeropuerto de noche.;They got to the airport at night.
Reunámonos todos en el bar.;Let's all get together in the bar.
Puedo apañarme con mi inglés.;I can get by with my English.
Él sabe lo suficiente para salir del paso.;He knows enough to get by.
¿Puedes conseguirme un lápiz?;Can you get me a pencil?
Quiero alejarme del ruido.;I want to get away from the noise.
¿Cuándo recibiste mi carta?;When did you get my letter?
¿Puedes conseguir que vengan aquí?;Can you get them to come here?
Tengo un secreto.;I've got a secret. / I have a secret.
Iré a por el libro.;I'll go and get the book.
No pude contactar con él por teléfono.;I couldn't get through to him.
Tenemos que hacer llegar esto a Correos.;We have to get this to the post office.
Seré despedido si hago eso.;I'll get fired if I do that.
Ponte en contacto conmigo lo antes posible.;Get in touch with me as soon as possible.
Estoy envejeciendo.;I'm getting old.
Tardo mucho en prepararme para el trabajo cada mañana.;It takes me a long time to get ready for work every morning.
Este suelo se ensucia fácilmente.;This floor gets dirty easily.
Se enfriará si lo metes en la nevera.;It'll get cold if you put it in the refrigerator.
¡Lo hemos conseguido!;We did it!
Mi hijo consiguió buenas notas.;My son got good grades / marks.
Nunca ha habido nada como esto.;There's never been anything like this.
¿Se mandaron las fotos?;Were the pictures sent?
No se han mandado todavía.;They haven't been sent yet.
No iré a menos que vengas conmigo.;I won't go unless you come with me.
Si sigues las directrices, todo irá bien.;If you follow the guidelines, everything will turn out fine.
Nací en una ciudad grande.;I was born in a big city.
Ojalá hubiera nacido en una ciudad pequeña.;I wish I had been born in a small city.
Me crié en los barrios bajos.;I grew up in the slums.
Ojalá me hubiera criado en una zona mejor.;I wish I had grown up in a better area.
Nunca tuve muchos amigos.;I never had many friends.
Ojalá hubiera tenido más amigos.;I wish I had had more friends.
Mi familia fue pobre.;My family was poor.
Ojalá mi familia hubiera sido rica.;I wish my family had been rich.
Murió mi padre cuando yo era joven.;My father died when I was young.
Ojalá no hubiera muerto tan pronto.;I wish he hadn't died so soon.
Mi primer trabajo no me pagaba bien.;My first job didn't pay me well.
Ojalá me hubiera pagado mejor.;I wish it had paid me better.
Seguía cambiando de trabajo.;I kept changing jobs.
Ojalá pudiera haberme quedado en un trabajo.;I wish I could've kept a job.
Nunca aprendí un oficio.;I never learned a trade.
Ojalá hubiera aprendido un oficio.;I wish I had learned a trade.
